State,Median_Income,Edu_Total,HS_Grad,Bachelors,Masters,Doctorate,state,Rural,Urban,Total,Urban_Pct,Rural_Pct,State_Type
Alabama,59674,3474924,874286,609316,286677,42908,01,36,31,67,46.26865671641791,53.73134328358209,Rural
Alaska,88121,489218,116008,94168,39551,6548,02,27,3,30,10.0,90.0,Rural
Arizona,74568,5053656,996330,1032052,463372,73242,04,7,8,15,53.333333333333336,46.666666666666664,Mixed
Arkansas,55432,2057624,583402,323961,144054,23987,05,58,17,75,22.666666666666664,77.33333333333333,Rural
California,91551,26866773,4846859,6056169,2643964,517699,06,21,37,58,63.793103448275865,36.206896551724135,Mixed
Colorado,89302,4084004,670780,1177891,508701,83022,08,47,17,64,26.5625,73.4375,Rural
Connecticut,88429,2545188,568906,584999,345966,49857,09,2,7,9,77.77777777777779,22.22222222222222,Mixed
Delaware,82174,724041,180292,151894,81198,14956,10,1,2,3,66.66666666666666,33.33333333333333,Mixed
District of Columbia,101027,479231,53376,126678,115091,24411,11,0,1,1,100.0,0.0,Urban
Florida,69303,16104410,3716877,3445343,1430806,232162,12,22,45,67,67.16417910447761,32.83582089552239,Mixed
Georgia,72837,7332980,1620608,1519625,733360,118108,13,85,74,159,46.540880503144656,53.459119496855344,Rural
Hawaii,92458,1023843,244287,226124,90504,16917,15,2,3,5,60.0,40.0,Mixed
Idaho,72785,1280178,275314,274409,99915,16713,16,30,14,44,31.818181818181817,68.18181818181817,Rural
Illinois,76708,8692839,1860087,1952990,968013,140791,17,65,37,102,36.27450980392157,63.725490196078425,Rural
Indiana,66785,4584460,1230358,869217,357804,57273,18,48,44,92,47.82608695652174,52.17391304347826,Rural
Iowa,69588,2159511,552775,463740,167964,27957,19,77,22,99,22.22222222222222,77.77777777777779,Rural
Kansas,68925,1944891,409444,426910,194772,30398,20,85,20,105,19.047619047619047,80.95238095238095,Rural
Kentucky,59341,3091499,806014,508620,253773,37210,21,81,39,120,32.5,67.5,Rural
Louisiana,55416,3096121,840937,525044,218915,35332,22,27,37,64,57.8125,42.1875,Mixed
Maine,69543,1030141,261555,229764,99149,17210,23,11,5,16,31.25,68.75,Rural
Maryland,94991,4286216,882566,996167,617106,129354,24,7,17,24,70.83333333333334,29.166666666666668,Mixed
Massachusetts,94488,4947384,1000319,1252187,735346,167856,25,3,11,14,78.57142857142857,21.428571428571427,Mixed
Michigan,66986,6978952,1681221,1361139,651795,94849,26,53,30,83,36.144578313253014,63.85542168674698,Rural
Minnesota,82338,3918565,797540,995083,378864,65650,27,60,27,87,31.03448275862069,68.96551724137932,Rural
Mississippi,52719,1963322,481433,297480,136302,24020,28,62,20,82,24.390243902439025,75.60975609756098,Rural
Missouri,64811,4236010,1084843,835865,381114,60726,29,80,35,115,30.434782608695656,69.56521739130434,Rural
Montana,67631,785438,179439,179708,65526,12004,30,46,10,56,17.857142857142858,82.14285714285714,Rural
Nebraska,69597,1300094,279300,293346,110690,19384,31,82,11,93,11.827956989247312,88.17204301075269,Rural
Nevada,72333,2223852,534187,390872,144438,23178,32,12,5,17,29.411764705882355,70.58823529411765,Rural
New Hampshire,89992,1024780,234569,252073,131091,20137,33,7,3,10,30.0,70.0,Rural
New Jersey,96346,6482223,1458634,1679895,834955,119490,34,0,21,21,100.0,0.0,Urban
New Mexico,59726,1453129,306601,246178,139286,30240,35,26,7,33,21.21212121212121,78.78787878787878,Rural
New York,79557,13892241,2843637,3097409,1774703,254705,36,25,37,62,59.67741935483871,40.32258064516129,Mixed
North Carolina,67481,7372120,1536443,1678483,708100,121542,37,55,45,100,45.0,55.00000000000001,Rural
North Dakota,71970,514786,111180,115034,33321,5939,38,45,8,53,15.09433962264151,84.90566037735849,Rural
Ohio,65720,8130929,2293879,1578535,760014,104386,39,47,41,88,46.590909090909086,53.40909090909091,Rural
Oklahoma,59673,2661141,675343,495467,187067,32026,40,59,18,77,23.376623376623375,76.62337662337663,Rural
Oregon,75657,3043930,549907,675825,297339,55267,41,21,15,36,41.66666666666667,58.333333333333336,Rural
Pennsylvania,71798,9151744,2669893,1899494,940588,164782,42,34,33,67,49.25373134328358,50.74626865671642,Rural
Rhode Island,81854,778191,161723,185883,84304,15933,44,0,5,5,100.0,0.0,Urban
South Carolina,64115,3664922,852142,725469,345957,54737,45,20,26,46,56.52173913043478,43.47826086956522,Mixed
South Dakota,69728,605735,147097,131481,41868,8078,46,58,8,66,12.121212121212121,87.87878787878788,Rural
Tennessee,65254,4868110,1259999,958365,391150,71956,47,51,44,95,46.31578947368421,53.68421052631579,Rural
Texas,72284,19597383,3852041,4242031,1779032,264060,48,168,86,254,33.85826771653544,66.14173228346458,Rural
Utah,89168,2042912,390984,505215,194392,36185,49,20,9,29,31.03448275862069,68.96551724137932,Rural
Vermont,73991,467643,106758,114633,65678,11346,50,11,3,14,21.428571428571427,78.57142857142857,Rural
Virginia,85873,5978782,1203973,1409942,818944,128015,51,53,80,133,60.150375939849624,39.849624060150376,Mixed
Washington,91306,5470209,963272,1302707,624627,102857,53,20,19,39,48.717948717948715,51.28205128205128,Rural
West Virginia,54329,1262566,400450,188793,88210,14957,54,35,20,55,36.36363636363637,63.63636363636363,Rural
Wisconsin,70996,4088500,1066855,885548,344375,56389,55,45,27,72,37.5,62.5,Rural
Wyoming,70042,399796,85963,71812,34361,6288,56,21,2,23,8.695652173913043,91.30434782608695,Rural
Puerto Rico,24112,2404438,609112,503506,148347,33185,72,12,66,78,84.61538461538461,15.384615384615385,Urban
